School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result â‰¤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,"All Results Received	",Date All Results Received,"School Website	",BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
MARCELLUS CENTRAL SCHOOL,C S DRIVER MIDDLE SCHOOL,Onondaga,Public School,80,No,45,0,0,30,Yes,9/28/2016,97,23,Yes,Yes,11/29/2016,http://www.marcellusschools.org/teacherpage.cfm?teacher=433,421101060004.00,REED PKY,MARCELLUS,NY,13108,11/16/2016,12/7/2016,"(43.065629, -76.168033)","REED PKY MARCELLUS, NY 13108
(42.98253787800007, -76.33953106899997)"
ONONDAGA CENTRAL SCHOOL,ROCKWELL ELEM SCHOOL,Onondaga,Public School,69,This school has one or more lead-free buildings,41,0,0,28,Yes,9/29/2016,65,1,Yes,Yes,11/23/2016,http://www.ocs.cnyric.org,421201040001.00,208 ROCKWELL RD,NEDROW,NY,13120,11/10/2016,11/28/2016,"(43.065629, -76.168033)","208 ROCKWELL RD
NEDROW, NY 13120
(42.976752341000065, -76.13907201599994)"
ONONDAGA CENTRAL SCHOOL,WHEELER MIDDLE SCHOOL,Onondaga,Public School,75,No,38,0,0,37,Yes,9/29/2016,70,3,Yes,Yes,11/22/2016,http://www.ocs.cnyric.org,421201040002.00,4543 S ONONDAGA RD,NEDROW,NY,13120,11/10/2016,11/28/2016,"(43.065629, -76.168033)","4543 S ONONDAGA RD
NEDROW, NY 13120
(42.93252789400003, -76.20067419099996)"
ONONDAGA CENTRAL SCHOOL,ONONDAGA H S,Onondaga,Public School,66,This school has one or more lead-free buildings,23,0,0,65,Yes,10/14/2016,64,0,Yes,Yes,1/4/2017,http://www.ocs.cnyric.org/district.cfm?subpage=62434&adminActivate=1,421201040003.00,4479 S ONONDAGA RD,NEDROW,NY,13120,11/7/2016,1/5/2017,"(43.065629, -76.168033)","4479 S ONONDAGA RD
NEDROW, NY 13120
(42.930776698000045, -76.20418222599994)"
LIVERPOOL CENTRAL SCHOOL,NATE PERRY ELEM. SCHOOL,Onondaga,Public School,59,No,0,0,0,59,Yes,12/14/2016,59,0,No,Yes,1/3/2017,http://www.liverpool.k12.ny.us,421501060001.00,7053 BUCKLEY RD,LIVERPOOL,NY,13088,1/24/2017,1/24/2017,"(43.065629, -76.168033)","7053 BUCKLEY RD
LIVERPOOL, NY 13088
(43.13878540700006, -76.17373187799996)"
LIVERPOOL CENTRAL SCHOOL,ELMCREST ELEM SCHOOL,Onondaga,Public School,66,No,0,0,0,66,Yes,12/14/2016,52,14,Yes,Yes,1/3/2017,http://www.liverpool.k12.ny.us,421501060004.00,350 WOODS PATH RD,LIVERPOOL,NY,13090,1/24/2017,1/24/2017,"(43.065629, -76.168033)","350 WOODS PATH RD
LIVERPOOL, NY 13090
(43.13075198100006, -76.23769714799994)"
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL MIDDLE SCHOOL,Onondaga,Public School,52,This school has one or more lead-free buildings,0,0,0,52,Yes,11/16/2016,52,0,No,Yes,12/1/2016,http://www.liverpool.k12.ny.us,421501060005.00,720 SEVENTH ST,LIVERPOOL,NY,13088,1/24/2017,1/24/2017,"(43.065629, -76.168033)","720 SEVENTH ST
LIVERPOOL, NY 13088
(43.11076800400008, -76.21494627799996)"
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL ANNEX,Onondaga,Public School,56,No,0,0,0,56,Yes,12/14/2016,55,1,Yes,Yes,1/24/2017,http://www.liverpool.k12.ny.us,421501060006.00,4338 WETZEL RD,LIVERPOOL,NY,13090,1/24/2017,1/25/2017,"(43.065629, -76.168033)","4338 WETZEL RD
LIVERPOOL, NY 13090
(43.15019556800007, -76.21396854799997)"
LIVERPOOL CENTRAL SCHOOL,"CHESTNUT HILL ES @ WETZEL ROAD ES (for lead survey, temp 2016-17)",Onondaga,Public School,,No,,,,,No,,,,No,No,,,421501060007.00,4246 WETZEL ROAD,LIVERPOOL,NY,13090,,,"(43.065629, -76.168033)","4246 WETZEL ROAD
LIVERPOOL, NY 13090
(43.149966937000045, -76.21909875799997)"
LIVERPOOL CENTRAL SCHOOL,CHESTNUT HILL ES (for lead survey- CHESTNUT HILL MS @ CHE 2016-17),Onondaga,Public School,58,No,0,0,0,58,Yes,11/15/2016,56,2,Yes,Yes,12/1/2016,http://www.liverpool.k12.ny.us,421501060009.00,200 SASLON PARK DR,LIVERPOOL,NY,13088,1/24/2017,1/24/2017,"(43.065629, -76.168033)","200 SASLON PARK DR
LIVERPOOL, NY 13088
(43.094457609000074, -76.18133850399994)"
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL ELEMENTARY SCHOOL,Onondaga,Public School,40,No,0,0,0,40,Yes,11/8/2016,40,0,No,Yes,11/28/2016,http://www.liverpool.k12.ny.us,421501060010.00,910 SECOND ST.,LIVERPOOL,NY,13088,1/24/2017,1/24/2017,"(43.065629, -76.168033)","910 SECOND ST
LIVERPOOL, NY 13088
(43.10910292400007, -76.21936014899995)"
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL HIGH SCHOOL,Onondaga,Public School,166,No,0,0,0,166,Yes,12/13/2016,118,48,Yes,Yes,1/3/2017,http://www.liverpool.k12.ny.us,421501060011.00,4338 WETZEL RD,LIVERPOOL,NY,13090,1/24/2017,1/24/2017,"(43.065629, -76.168033)","4338 WETZEL RD
LIVERPOOL, NY 13090
(43.15019556800007, -76.21396854799997)"
LIVERPOOL CENTRAL SCHOOL,MORGAN ROAD ELEMENTARY,Onondaga,Public School,22,No,0,0,0,22,Yes,1/12/2016,22,0,No,Yes,1/24/2017,http://www.liverpool.k12.ny.us,421501060012.00,7795 MORGAN ROAD,LIVERPOOL,NY,13088,1/24/2017,1/25/2017,"(43.065629, -76.168033)","7795 MORGAN ROAD
LIVERPOOL, NY 13088
(43.148168858000076, -76.20737528399997)"
LIVERPOOL CENTRAL SCHOOL,SOULE ROAD ELEMENTARY,Onondaga,Public School,15,No,0,0,0,15,Yes,11/15/2016,15,0,No,Yes,12/1/2016,http://www.liverpool.k12.ny.us,421501060013.00,8338 SOULE RD,LIVERPOOL,NY,13090,1/24/2017,1/24/2017,"(43.065629, -76.168033)","8338 SOULE RD
LIVERPOOL, NY 13090
(43.17406516700004, -76.22618050799997)"
LIVERPOOL CENTRAL SCHOOL,SOULE ROAD MIDDLE SCHOOL,Onondaga,Public School,72,No,0,0,0,72,Yes,12/14/2016,72,0,No,Yes,1/3/2017,http://www.liverpool.k12.ny.us,421501060014.00,SOULE ROAD MIDDLE SCHOOL,LIVERPOOL,NY,13088,1/24/2017,1/24/2017,"(43.065629, -76.168033)","SOULE ROAD MIDDLE SCHOOL LIVERPOOL, NY 13088
(43.105756779000046, -76.20255603499999)"
LIVERPOOL CENTRAL SCHOOL,LONG BRANCH ELEM SCHOOL,Onondaga,Public School,56,No,0,0,0,56,Yes,11/15/2016,55,1,Yes,Yes,12/1/2016,http://www.liverpool.k12.ny.us,421501060015.00,4035 LONG BRANCH RD,LIVERPOOL,NY,13090,1/24/2017,1/24/2017,"(43.065629, -76.168033)","4035 LONG BRANCH RD
LIVERPOOL, NY 13090
(43.12418766800005, -76.23423691599999)"
LIVERPOOL CENTRAL SCHOOL,DONLIN DRIVE,Onondaga,Public School,57,No,0,0,0,57,Yes,11/15/2016,57,0,No,Yes,12/1/2016,http://www.liverpool.k12.ny.us,421501060016.00,DONLIN DRIVE,LIVERPOOL,NY,13031,1/24/2017,1/24/2017,"(43.065629, -76.168033)","DONLIN DRIVE LIVERPOOL, NY 13031
(43.04297883800007, -76.27914353399996)"
LIVERPOOL CENTRAL SCHOOL,WILLOW FIELD SCHOOL,Onondaga,Public School,50,No,0,0,0,50,Yes,11/15/2016,50,0,No,Yes,12/1/2016,http://www.liverpool.k12.ny.us,421501060019.00,WILLOW FIELD SCHOOL,LIVERPOOL,NY,13090,1/24/2017,1/24/2017,"(43.065629, -76.168033)","WILLOW FIELD SCHOOL LIVERPOOL, NY 13090
(43.132680006000044, -76.21315601099997)"
LYNCOURT UNION FREE SCHOOL,LYNCOURT SCHOOL,Onondaga,Public School,79,No,21,0,0,58,Yes,9/16/2016,76,3,Yes,Yes,10/17/2016,http://www.lyncourtschool.org,421504020001.00,2707-09 COURT ST,SYRACUSE,NY,13208,10/31/2016,10/31/2016,"(43.065629, -76.168033)","2707 09 COURT ST
SYRACUSE, NY 13208
(43.06567056800003, -76.15176847799995)"
SKANEATELES CENTRAL SCHOOL,SKANEATELES S H S,Onondaga,Public School,155,No,22,0,0,133,Yes,10/8/2016,112,21,Yes,Yes,1/2/2017,http://www.skanschools.org,421601060002.00,49 E ELIZABETH ST,SKANEATELES,NY,13152,12/27/2016,1/3/2017,"(43.065629, -76.168033)","49 E ELIZABETH ST
SKANEATELES, NY 13152
(42.95005629600007, -76.42295043599995)"
SKANEATELES CENTRAL SCHOOL,WATERMAN ELEM SCHOOL,Onondaga,Public School,124,No,28,0,0,68,Yes,9/17/2016,68,27,Yes,Yes,10/20/2016,http://www.skanschools.org,421601060003.00,EAST ST,SKANEATELES,NY,13152,11/11/2016,11/11/2016,"(43.065629, -76.168033)","EAST ST SKANEATELES, NY 13152
(42.947146177000036, -76.43071579499997)"
SKANEATELES CENTRAL SCHOOL,STATE STREET INTERMEDIATE SCHOOL,Onondaga,Public School,83,No,9,0,0,74,Yes,9/17/2016,76,7,Yes,Yes,10/20/2016,http://www.skanschools.org,421601060004.00,72 STATE ST,SKANEATELES,NY,13152,11/11/2016,11/11/2016,"(43.065629, -76.168033)","72 STATE ST
SKANEATELES, NY 13152
(42.95165725700008, -76.42612117299996)"
SKANEATELES CENTRAL SCHOOL,SKANEATELES MIDDLE SCHOOL,Onondaga,Public School,96,No,18,0,0,76,Yes,10/8/2016,60,16,Yes,Yes,1/2/2017,http://www.skanschools.org,421601060005.00,EAST ST,SKANEATELES,NY,13152,12/27/2016,1/3/2017,"(43.065629, -76.168033)","EAST ST SKANEATELES, NY 13152
(42.947146177000036, -76.43071579499997)"
SYRACUSE CITY SCHOOLS,CLARY MIDDLE SCHOOL,Onondaga,Public School,72,No,0,0,0,72,Yes,10/14/2016,69,3,Yes,Yes,12/30/2016,http://www.syracusecityschools.com,421800010003.00,100 AMIDON DR,SYRACUSE,NY,13205,11/10/2016,1/9/2017,"(43.065629, -76.168033)","100 AMIDON DR
SYRACUSE, NY 13205
(42.99665953200008, -76.14343658199994)"
SYRACUSE CITY SCHOOLS,BELLEVUE SCHOOL,Onondaga,Public School,67,No,0,0,0,67,Yes,9/21/2016,61,6,Yes,Yes,10/29/2016,http://www.syracusecityschools.com,421800010004.00,530 STOLP AVE,SYRACUSE,NY,13207,11/10/2016,11/10/2016,"(43.065629, -76.168033)","530 STOLP AVE
SYRACUSE, NY 13207
(43.03017695500006, -76.17255117099995)"
SYRACUSE CITY SCHOOLS,VAN DUYN SCHOOL,Onondaga,Public School,79,No,0,0,0,79,Yes,9/24/2016,78,1,Yes,Yes,12/13/2016,http://www.syracusecityschools.com,421800010006.00,401 LOOMIS AVE,SYRACUSE,NY,13207,11/10/2016,1/3/2017,"(43.065629, -76.168033)","401 LOOMIS AVE
SYRACUSE, NY 13207
(43.006948187000035, -76.15337495799997)"
SYRACUSE CITY SCHOOLS,EDWARD SMITH SCHOOL,Onondaga,Public School,74,No,0,0,0,74,Yes,9/22/2016,64,10,Yes,Yes,11/18/2016,http://www.syracusecityschools.com,421800010008.00,LANCASTER AVE+BROAD S,SYRACUSE,NY,13210,11/10/2016,11/29/2016,"(43.065629, -76.168033)","LANCASTER AVE BROAD S SYRACUSE, NY 13210
(43.04415554800005, -76.13610686899995)"
SYRACUSE CITY SCHOOLS,ROBERTS SCHOOL,Onondaga,Public School,82,No,0,0,0,82,Yes,9/24/2016,81,1,Yes,Yes,11/29/2016,http://www.syracusecityschools.com,421800010010.00,715 GLENWOOD AVE,SYRACUSE,NY,13207,11/10/2016,12/5/2016,"(43.065629, -76.168033)","715 GLENWOOD AVE
SYRACUSE, NY 13207
(43.019631641000046, -76.17068982699999)"
SYRACUSE CITY SCHOOLS,MEACHEM SCHOOL,Onondaga,Public School,82,No,0,0,0,82,Yes,9/27/2016,79,3,Yes,Yes,1/5/2017,http://www.syracusecityschools.com,421800010011.00,171 SPAULDING AVE,SYRACUSE,NY,13205,11/10/2016,1/19/2017,"(43.065629, -76.168033)","171 SPAULDING AVE
SYRACUSE, NY 13205
(42.98698078900003, -76.14709496099994)"
SYRACUSE CITY SCHOOLS,LEMOYNE SCHOOL,Onondaga,Public School,61,No,0,0,0,61,Yes,9/17/2016,60,1,Yes,Yes,11/16/2016,http://www.syracusecityschools.com,421800010012.00,1528 LEMOYNE AVE,SYRACUSE,NY,13208,11/10/2016,11/18/2016,"(43.065629, -76.168033)","1528 LEMOYNE AVE
SYRACUSE, NY 13208
(43.08252754500006, -76.14974170999994)"
SYRACUSE CITY SCHOOLS,SALEM HYDE SCHOOL,Onondaga,Public School,69,No,0,0,0,69,Yes,9/17/2016,66,3,Yes,Yes,11/18/2016,http://www.syracusecityschools.com,421800010013.00,450 DURSTON AVE,SYRACUSE,NY,13203,11/10/2016,11/29/2016,"(43.065629, -76.168033)","450 DURSTON AVE
SYRACUSE, NY 13203
(43.07003024000005, -76.12731883899994)"
SYRACUSE CITY SCHOOLS,HUNTINGTON SCHOOL,Onondaga,Public School,83,No,0,0,0,83,Yes,9/25/2016,78,5,Yes,Yes,11/23/2016,http://www.syracusecityschools.com,421800010015.00,400 SUNNYCREST RD,SYRACUSE,NY,13206,11/10/2016,12/1/2016,"(43.065629, -76.168033)","400 SUNNYCREST RD
SYRACUSE, NY 13206
(43.061602030000074, -76.11067961399993)"
SYRACUSE CITY SCHOOLS,DR. KING SCHOOL,Onondaga,Public School,176,No,0,0,0,176,Yes,9/25/2016,172,3,Yes,Yes,12/14/2016,http://www.syracusecityschools.com,421800010018.00,416 E RAYNOR AVE,SYRACUSE,NY,13202,11/10/2016,12/29/2016,"(43.065629, -76.168033)","416 E RAYNOR AVE
SYRACUSE, NY 13202
(43.03564209800004, -76.14413975699995)"
SYRACUSE CITY SCHOOLS,DANFORTH MAGNET SCHOOL,Onondaga,Public School,75,No,0,0,0,75,Yes,10/7/2016,75,0,Yes,Yes,1/6/2017,http://www.syracusecityschools.com,421800010020.00,309 W BRIGHTON AVE,SYRACUSE,NY,13205,11/10/2016,1/18/2017,"(43.065629, -76.168033)","309 W BRIGHTON AVE
SYRACUSE, NY 13205
(43.02000066900007, -76.14952051599994)"
SYRACUSE CITY SCHOOLS,FRANKLIN SCHOOL,Onondaga,Public School,89,No,0,0,0,89,Yes,9/17/2016,88,1,Yes,Yes,10/20/2016,http://www.syracusecityschools.com,421800010021.00,428 S ALVORD ST,SYRACUSE,NY,13208,11/10/2016,11/10/2016,"(43.065629, -76.168033)","428 S ALVORD ST
SYRACUSE, NY 13208
(43.06238524400004, -76.14645403299994)"
SYRACUSE CITY SCHOOLS,FRAZER SCHOOL,Onondaga,Public School,85,No,0,0,0,85,Yes,9/24/2016,80,5,Yes,Yes,11/30/2016,http://www.syracusecityschools.com,421800010022.00,741 PARK AVE,SYRACUSE,NY,13204,11/10/2016,12/8/2016,"(43.065629, -76.168033)","741 PARK AVE
SYRACUSE, NY 13204
(43.05204232300008, -76.17343194999995)"
SYRACUSE CITY SCHOOLS,PERCY HUGHES SCHOOL,Onondaga,Public School,98,No,0,0,0,98,Yes,9/28/2016,97,1,Yes,Yes,12/30/2016,http://www.syracusecityschools.com,421800010025.00,345 JAMESVILLE AVE,SYRACUSE,NY,13210,11/10/2016,1/4/2017,"(43.065629, -76.168033)","345 JAMESVILLE AVE
SYRACUSE, NY 13210
(43.022880669000074, -76.13415695999998)"
SYRACUSE CITY SCHOOLS,PORTER MAGNET SCHOOL,Onondaga,Public School,69,No,0,0,0,69,Yes,9/27/2016,57,12,Yes,Yes,1/11/2017,http://www.syracusecityschools.com,421800010027.00,512 EMERSON AVE,SYRACUSE,NY,13204,11/10/2016,1/25/2017,"(43.065629, -76.168033)","512 EMERSON AVE
SYRACUSE, NY 13204
(43.05359831000004, -76.18775402799997)"
SYRACUSE CITY SCHOOLS,SEYMOUR SCHOOL,Onondaga,Public School,57,No,0,0,0,57,Yes,9/24/2016,56,1,Yes,Yes,12/7/2016,http://www.syracusecityschools.com,421800010028.00,108 SHONNARD ST,SYRACUSE,NY,13204,11/10/2016,12/11/2016,"(43.065629, -76.168033)","108 SHONNARD ST
SYRACUSE, NY 13204
(43.04162711400005, -76.15913201699993)"
SYRACUSE CITY SCHOOLS,FORMER ELMWOOD ELEMENTARY SCHOOL (LEAD ONLY),Onondaga,Public School,60,No,0,0,0,60,Yes,10/27/2016,,,No,No,,http://www.syracusecityschools.com,421800010029.00,1728 SOUTH AVE.,SYRACUSE,NY,13207,12/12/2016,,"(43.065629, -76.168033)","1728 SOUTH AVE
SYRACUSE, NY 13207
(43.02049948400003, -76.15977655699999)"
SYRACUSE CITY SCHOOLS,H W SMITH ELEM SCHOOL,Onondaga,Public School,132,No,0,0,0,132,Yes,9/25/2016,129,3,Yes,Yes,1/5/2017,http://www.syracusecityschools.com,421800010031.00,1130 SALT SPRINGS RD,SYRACUSE,NY,13224,11/10/2016,1/11/2017,"(43.065629, -76.168033)","1130 SALT SPRINGS RD
SYRACUSE, NY 13224
(43.04752418000004, -76.09548358199999)"
SYRACUSE CITY SCHOOLS,CORCORAN HIGH SCHOOL,Onondaga,Public School,127,No,0,0,0,127,Yes,10/27/2016,,,No,No,,http://www.syracusecityschools.com,421800010033.00,919 GLENWOOD AVE,SYRACUSE,NY,13207,11/10/2016,,"(43.065629, -76.168033)","919 GLENWOOD AVE
SYRACUSE, NY 13207
(43.019412041000066, -76.17400072999999)"
SYRACUSE CITY SCHOOLS,GRANT MIDDLE SCHOOL,Onondaga,Public School,111,No,0,0,0,111,Yes,10/27/2016,,,No,No,,http://www.syracusecityschools.com,421800010035.00,2400 GRANT BLVD,SYRACUSE,NY,13208,11/10/2016,,"(43.065629, -76.168033)","2400 GRANT BLVD
SYRACUSE, NY 13208
(43.07382614800008, -76.14867484799998)"
SYRACUSE CITY SCHOOLS,FORMER T. AARON LEVY MS (LEAD ONLY),Onondaga,Public School,70,No,0,0,0,70,Yes,10/27/2016,,,No,No,,http://www.syracusecityschools.com,421800010036.00,111 FELLOWS AVE.,SYRACUSE,NY,13210,12/12/2016,,"(43.065629, -76.168033)","111 FELLOWS AVE
SYRACUSE, NY 13210
(43.04498087600007, -76.11566818299997)"
SYRACUSE CITY SCHOOLS,NOTTINGHAM H S,Onondaga,Public School,168,No,0,0,0,168,Yes,10/27/2016,,,No,No,,http://www.syracusecityschools.com,421800010039.00,3100 E GENESEE ST,SYRACUSE,NY,13224,11/10/2016,,"(43.065629, -76.168033)","3100 E GENESEE ST
SYRACUSE, NY 13224
(43.04270254800008, -76.09954075199994)"
SYRACUSE CITY SCHOOLS,HENNINGER H S,Onondaga,Public School,129,No,0,0,0,129,Yes,10/9/2016,,,No,No,,http://www.syracusecityschools.com,421800010040.00,600 ROBINSON ST,SYRACUSE,NY,13206,11/10/2016,,"(43.065629, -76.168033)","600 ROBINSON ST
SYRACUSE, NY 13206
(43.05851220100004, -76.11882902599996)"
SYRACUSE CITY SCHOOLS,DELAWARE SCHOOL,Onondaga,Public School,78,No,0,0,0,78,Yes,9/28/2016,69,16,Yes,Yes,1/3/2017,http://www.syracusecityschools.com,421800010041.00,900 S GEDDES ST,SYRACUSE,NY,13204,11/10/2016,1/10/2017,"(43.065629, -76.168033)","900 S GEDDES ST
SYRACUSE, NY 13204
(43.039035229000035, -76.17282729299995)"
SYRACUSE CITY SCHOOLS,MCKINLEY-BRGHTON MAGNET SCH,Onondaga,Public School,124,No,0,0,0,124,Yes,9/29/2016,123,1,Yes,Yes,12/13/2016,http://www.syracusecityschools.com,421800010042.00,141 W. NEWELL ST,SYRACUSE,NY,13205,11/10/2016,12/23/2016,"(43.065629, -76.168033)","141 W NEWELL ST
SYRACUSE, NY 13205
(43.01778262500005, -76.14409779699997)"
SYRACUSE CITY SCHOOLS,WEBSTER SCHOOL,Onondaga,Public School,51,No,0,0,0,51,Yes,9/16/2016,51,0,No,Yes,10/13/2016,http://www.syracusecityschools.com,421800010043.00,500 WADSWORTH ST,SYRACUSE,NY,13208,11/10/2016,11/10/2016,"(43.065629, -76.168033)","500 WADSWORTH ST
SYRACUSE, NY 13208
(43.075142036000045, -76.13921304499996)"
SYRACUSE CITY SCHOOLS,FORMER JAMES A. SHEA MS (CORE PROGRAM) (LEAD ONLY),Onondaga,Public School,60,No,0,0,0,60,Yes,10/21/2016,46,14,Yes,Yes,1/10/2017,http://www.syracusecityschools.com,421800010045.00,1607 S. GEDDES ST.,SYRACUSE,NY,13207,12/12/2016,1/23/2017,"(43.065629, -76.168033)","1607 S GEDDES ST
SYRACUSE, NY 13207
(43.03141237600005, -76.17528281799997)"
SYRACUSE CITY SCHOOLS,INSTITUTE OF TECHNOLOGY,Onondaga,Public School,91,No,0,0,0,91,Yes,10/16/2016,,,No,No,,http://www.syracusecityschools.com,421800010047.00,258 E. Adams St.,SYRACUSE,NY,13210,11/10/2016,,"(43.065629, -76.168033)","258 E Adams St
SYRACUSE, NY 13210
(43.042745823000075, -76.14956087599995)"
SYRACUSE CITY SCHOOLS,LINCOLN MIDDLE SCHOOL,Onondaga,Public School,91,No,0,0,0,91,Yes,10/7/2016,81,10,Yes,Yes,1/13/2017,http://www.syracusecityschools.com,421800010048.00,1613 JAMES ST,SYRACUSE,NY,13203,11/10/2016,1/23/2017,"(43.065629, -76.168033)","1613 JAMES ST
SYRACUSE, NY 13203
(43.06370102600005, -76.12542415299998)"
SYRACUSE CITY SCHOOLS,GEORGE FOWLER H S,Onondaga,Public School,118,No,0,0,0,118,Yes,10/16/2016,,,No,No,,http://www.syracusecityschools.com,421800010049.00,227 MAGNOLIA ST,SYRACUSE,NY,13204,11/10/2016,,"(43.065629, -76.168033)","227 MAGNOLIA ST
SYRACUSE, NY 13204
(43.04401435200003, -76.17431709299996)"
SYRACUSE CITY SCHOOLS,DR EDWIN E WEEKS SCHOOL,Onondaga,Public School,157,No,0,0,0,157,Yes,9/25/2016,157,0,No,Yes,12/13/2016,http://www.syracusecityschools.com,421800010052.00,710 Hawley Ave.,SYRACUSE,NY,13207,11/10/2016,12/20/2016,"(43.065629, -76.168033)","710 Hawley Ave
SYRACUSE, NY 13207
(43.05522864300008, -76.13303173599996)"
SYRACUSE CITY SCHOOLS,MCCARTHY AT BEARD,Onondaga,Public School,24,No,0,0,0,24,Yes,9/23/2016,22,2,Yes,Yes,11/23/2016,http://www.syracusecityschools.com,421800010053.00,220 W KENNEDY ST,SYRACUSE,NY,13202,11/10/2016,12/2/2016,"(43.065629, -76.168033)","220 W KENNEDY ST
SYRACUSE, NY 13202
(43.02981209400008, -76.15117905899996)"
SYRACUSE CITY SCHOOLS,THE EXPEDITIONARY LEARNING SCHOOL,Onondaga,Public School,38,No,0,0,0,38,Yes,10/14/2016,34,4,Yes,Yes,1/6/2017,http://www.syracusecityschools.com,421800010058.00,4942 SOUTH SALINA STREET,SYRACUSE,NY,13205,11/10/2016,1/11/2017,"(43.065629, -76.168033)","4942 SOUTH SALINA STREET
SYRACUSE, NY 13205
(42.99655592500005, -76.14336700799998)"
SYRACUSE CITY SCHOOLS,WEST SIDE ACADEMY AT BLODGETT,Onondaga,Public School,74,No,0,0,0,74,Yes,10/25/2016,54,20,Yes,Yes,1/9/2017,http://www.syracusecityschools.com,421800010060.00,312 OSWEGO ST,SYRACUSE,NY,13204,11/10/2016,1/19/2017,"(43.065629, -76.168033)","312 OSWEGO ST
SYRACUSE, NY 13204
(43.04502273300005, -76.16474914399998)"
SYRACUSE CITY SCHOOLS,JOHNSON VOCATIONAL CENTER,Onondaga,Public School,30,No,0,0,0,30,Yes,10/21/2016,,,No,No,,http://www.syracusecityschools.com,421800010067.00,573 E. GENESEE ST.,SYRACUSE,NY,13202,11/10/2016,,"(43.065629, -76.168033)","573 E GENESEE ST
SYRACUSE, NY 13202
(43.047645415000034, -76.14443035499994)"
TULLY CENTRAL SCHOOL,TULLY J S H S,Onondaga,Public School,166,No,14,0,0,152,Yes,10/26/2016,130,23,Yes,Yes,12/21/2016,http://www.tullyschools.org,421902040001.00,ELM ST,TULLY,NY,13159,11/14/2016,12/27/2016,"(43.065629, -76.168033)","ELM ST TULLY, NY 13159
(42.79693281700003, -76.10981514799994)"
TULLY CENTRAL SCHOOL,TULLY ELEM SCHOOL,Onondaga,Public School,108,No,16,0,0,92,Yes,9/28/2016,71,12,Yes,Yes,11/6/2016,http://www.tullyschools.org,421902040002.00,20 STATE ST,TULLY,NY,13159,11/14/2016,11/7/2016,"(43.065629, -76.168033)","20 STATE ST
TULLY, NY 13159
(42.79663891900003, -76.10998495599995)"
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - HENRY CAREER & TECH EDUC BLDG,Onondaga,BOCES School,61,No,27,0,0,34,Yes,9/27/2016,60,1,Yes,Yes,10/17/2016,http://www.ocmboces.org/teacherpage.cfm?teacher=1493,429000000008.00,6820 THOMPSON RD,SYRACUSE,NY,13211,12/8/2016,12/8/2016,"(43.065629, -76.168033)","6820 THOMPSON RD
SYRACUSE, NY 13211
(43.100992408000025, -76.09626312799998)"
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - ALTERNATIVE HIGH SCHOOL AT HENRY,Onondaga,BOCES School,17,No,0,0,0,17,Yes,10/18/2016,17,0,Yes,Yes,12/15/2016,http://www.ocmboces.org/teacherpage.cfm?teacher=1493,429000000014.00,6820 THOMPSON RD,SYRACUSE,NY,13211,12/8/2016,12/15/2016,"(43.065629, -76.168033)","6820 THOMPSON RD
SYRACUSE, NY 13211
(43.100992408000025, -76.09626312799998)"
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - CROWN ROAD CAMPUS,Onondaga,BOCES School,63,No,24,0,0,38,Yes,9/23/2016,62,1,Yes,Yes,11/4/2016,http://www.ocmboces.org/teacherpage.cfm?teacher=1493,429000008003.00,4500 CROWN RD,LIVERPOOL,NY,13088,12/8/2016,12/8/2016,"(43.065629, -76.168033)","4500 CROWN RD
LIVERPOOL, NY 13088
(43.117268539000065, -76.20488247399999)"
